CATEGORY,INDEX,NORAD_CAT_ID_1,OBJECT_NAME_1,SHAPE_1,OBJECT_CLASS_1,NORAD_CAT_ID_2,OBJECT_NAME_2,SHAPE_2,OBJECT_CLASS_2,TCA,TCA_RANGE,TCA_RELATIVE_SPEED,DILUTION,RADIUS_1,RADIUS_2,HBR,PC_CELESTRAK,PC_SPACEMAP,ERROR(RATIO)
spacemap,279,57580,OBJECT A [+],,Unknown,12987,COSMOS 1328 [?],Unknown,Unknown,2023-09-28 14:01:10.497,0.3221975165058265,15.142,0.228,0.001,0.0015,0.0025,1.418e-05,6.64390162489788e-05,4.685403120520367
Celestrak,335,57606,STARLINK-30255 [+],,Unknown,57325,OBJECT AZ [-],Unknown,Unknown,2023-09-26 14:51:42.380,0.35,9.004,0.099,0.001,0.0015,0.0025,2.99e-05,5.636259807080508e-05,0.0
spacemap,335,57606,STARLINK-30255 [+],,Unknown,57325,OBJECT AZ [-],Unknown,Unknown,2023-09-26 14:51:42.380,0.34981727912329297,9.004,0.099,0.001,0.0015,0.0025,2.99e-05,5.636259807080508e-05,1.8850367247760897
Celestrak,347,56756,KONDOR FKA NO.1 [+],,Unknown,57682,STARLINK-30297 [+],Unknown,Unknown,2023-09-28 04:13:32.856,0.357,10.3,0.109,0.001,0.0015,0.0025,2.671e-05,5.4177321195103067e-05,0.0
spacemap,347,56756,KONDOR FKA NO.1 [+],,Unknown,57682,STARLINK-30297 [+],Unknown,Unknown,2023-09-28 04:13:32.856,0.3568031179266857,10.3,0.109,0.001,0.0015,0.0025,2.671e-05,5.4177321195103067e-05,2.028353470426921
Celestrak,348,57185,A-SEANSAT-PG 1 [+],,Unknown,50363,COSMOS 1408 DEB [-],Unknown,Unknown,2023-09-28 22:20:01.147,0.357,14.737,0.213,0.001,0.0003,0.0013,1.368e-05,1.4614000123830207e-05,0.0
spacemap,348,57185,A-SEANSAT-PG 1 [+],,Unknown,50363,COSMOS 1408 DEB [-],Unknown,Unknown,2023-09-28 22:20:01.147,0.35724640917181455,14.737,0.213,0.001,0.0003,0.0013,1.368e-05,1.4614000123830207e-05,1.0682748628530854
Celestrak,356,57800,XRISM [+],,Unknown,57802,H-2A DEB [-],Unknown,Unknown,2023-09-30 08:38:52.694,0.361,0.002,0.086,0.001,0.0003,0.0013,3.374e-05,1.4338067966185174e-05,0.0
spacemap,356,57800,XRISM [+],,Unknown,57802,H-2A DEB [-],Unknown,Unknown,2023-09-30 08:38:52.694,0.3606676495957666,0.002,0.086,0.001,0.0003,0.0013,3.374e-05,1.4338067966185174e-05,0.4249575567926845
Celestrak,429,56511,STARLINK-5351 [+],,Unknown,40038,FLOCK 1C-5 [-],Unknown,Unknown,2023-09-25 16:13:43.548,0.399,14.191,0.2,0.001,0.0015,0.0025,6.402e-06,4.339156071254568e-05,0.0
spacemap,429,56511,STARLINK-5351 [+],,Unknown,40038,FLOCK 1C-5 [-],Unknown,Unknown,2023-09-25 16:13:43.548,0.39869239584517746,14.191,0.2,0.001,0.0015,0.0025,6.402e-06,4.339156071254568e-05,6.7778132946806755
Celestrak,446,57487,NULION [+],,Unknown,37929,FENGYUN 1C DEB [-],Unknown,Unknown,2023-09-27 15:00:30.174,0.405,11.575,0.137,0.001,0.0003,0.0013,1.884e-05,1.1396911976210174e-05,0.0
spacemap,446,57487,NULION [+],,Unknown,37929,FENGYUN 1C DEB [-],Unknown,Unknown,2023-09-27 15:00:30.174,0.4045384238505534,11.575,0.137,0.001,0.0003,0.0013,1.884e-05,1.1396911976210174e-05,0.6049316335568033
Celestrak,465,57202,CSTP 1.1 (STC 1.1) [+],,Unknown,57302,STARLINK-30233 [+],Unknown,Unknown,2023-09-27 17:47:51.911,0.411,10.595,0.129,0.001,0.0015,0.0025,1.964e-05,4.078544507944851e-05,0.0
