INDEX,TCA_RANGE,TCA_RELATIVE_SPEED,HBR_SPACEMAP,HBR_CELESTRAK,PC_SPACEMAP,PC_CELESTRAK,ERROR(RATIO),NORAD_CAT_ID_1,OBJECT_NAME_1,OBJECT_CLASS_1,SHAPE_1,SPAN_1,DIAMETER_1,HEIGHT_1,WIDTH_1,DEPTH_1,NORAD_CAT_ID_2,OBJECT_NAME_2,OBJECT_CLASS_2,SHAPE_2,SPAN_2,DIAMETER_2,HEIGHT_2,WIDTH_2,DEPTH_2
1132,0.633,13.395,0.0017576614559902,0.0014895614559907,8.509122742686335e-06,6.111e-06,1.3924272202072223,57652,STARLINK-30276 [+],Unknown,,,,,,,43673,H-2A DEB [-],Rocket Mission Related Object,Half Cyl,4.0,4.0,4.0,,
1152,0.636,8.676,0.0017576614559902,0.0018346114559901,8.429038244512817e-06,9.184e-06,0.9177959761011342,57637,STARLINK-30311 [+],Unknown,,,,,,,57325,OBJECT AZ [-],Unknown,,,,,,
1164,0.638,13.146,0.0017576614559902,0.0015241614559906,8.376275042178124e-06,6.298e-06,1.3299896859603246,56853,OBJECT H [+],Unknown,,,,,,,33981,COSMOS 2251 DEB [-],Payload Fragmentation Debris,,,,,,
1165,0.639,14.197,0.0017576614559902,0.0013755614559909,8.350079030143134e-06,5.114e-06,1.6327882342868858,57440,STARLINK-30159 [+],Unknown,,,,,,,33624,FENGYUN 1C DEB [-],Payload Fragmentation Debris,,,,,,
1168,0.64,14.269,0.0017576614559902,0.0013812114559908,8.324005714072314e-06,5.14e-06,1.619456364605509,56526,STARLINK-6317 [+],Unknown,,,,,,,37691,FENGYUN 1C DEB [-],Payload Fragmentation Debris,,,,,,
1184,0.646,12.456,0.0017576614559902,0.0015893614559905,8.170100005044308e-06,6.68e-06,1.223068863030585,56449,STARLINK-5993 [+],Unknown,,,,,,,14559,DELTA 1 DEB [-],Rocket Fragmentation Debris,,,,,,
1198,0.65,9.789,0.0017576614559902,0.0017815114559902,8.069855427805578e-06,8.291e-06,0.9733271532753078,57613,STARLINK-30041 [+],Unknown,,,,,,,35857,IRIDIUM 33 DEB [-],Payload Fragmentation Debris,,,,,,
1215,0.654,10.681,0.0017576614559902,0.0026637614559919,7.971444543326184e-06,1.831e-05,0.435360160749655,56996,AAC-AIS-SAT2 [+],Unknown,,,,,,,18153,SL-14 R/B [-],Rocket Body,Cyl,2.7,2.4,2.7,,
1225,0.656,0.024,0.0017576614559902,0.00199816145599,7.922912791825282e-06,1.024e-05,0.7737219523266877,57204,SITRO-AIS 12 (SMIRENNIY) [+],Unknown,,,,,,,57327,OBJECT BB [-],Unknown,,,,,,
1229,0.657,3.162,0.0017576614559902,0.00197956145599,7.898812949561623e-06,1.002e-05,0.7883046855849922,56950,BLACKJACK ACES-3 [+],Unknown,,,,,,,18214,COSMOS 1869 [?],Payload,Irr + 4 Pan,21.5,,5.0,2.4,2.4
1260,0.664,7.743,0.0017576614559902,0.0018737614559901,7.733151306814785e-06,8.789e-06,0.8798670277409016,57674,STARLINK-30314 [+],Unknown,,,,,,,51068,OBJECT CN [-],Payload,Box,0.1,,0.1,0.1,0.1
1281,0.669,9.109,0.0017576614559902,0.0018175114559901,7.617991764736706e-06,8.146e-06,0.9351819009006516,57668,STARLINK-30278 [+],Unknown,,,,,,,47700,OBJECT B [-],Rocket Body,Cyl + Cyl + 2 Nozzle,3.238,,,,
1309,0.675,0.001,0.0017576614559902,0.0018585114559901,7.483164086732798e-06,8.367e-06,0.8943664499501373,56947,ICEYE-X30 [+],Unknown,,,,,,,56962,TOMORROW-R2 [+],Unknown,,,,,,
1315,0.677,14.264,0.0017576614559902,0.0009526114559915,7.439016168757993e-06,2.185e-06,3.4045840589281435,57334,STARLINK-5589 [+],Unknown,,,,,,,40035,FLOCK 1C-9 [-],Payload,Box + 2 Pan,0.3,,0.3,0.1,0.1
1321,0.678,15.22,0.0017576614559902,0.0011545114559912,7.417088572190005e-06,3.2e-06,2.3178401788093765,56872,OBJECT AC [+],Unknown,,,,,,,18421,COSMOS 1892 [?],Payload,Cyl + 2 Pan,13.1,1.3,3.2,,
1337,0.683,14.277,0.0017576614559902,0.0013351114559909,7.308891409280919e-06,4.217e-06,1.7331969194405787,57628,HEAD-3C [+],Unknown,,,,,,,29842,FENGYUN 1C DEB [-],Payload Fragmentation Debris,,,,,,
1360,0.69,13.807,0.0017576614559902,0.0014402114559907,7.161348725785541e-06,4.808e-06,1.4894652091900042,57861,VICTUS NOX [+],Unknown,,,,,,,33643,FENGYUN 1C DEB [-],Payload Fragmentation Debris,,,,,,
1369,0.692,4.356,0.0017576614559902,0.0043259114559928,7.12001386591597e-06,4.313e-05,0.1650826307886846,57693,CAPELLA-11 (ACADIA) [+],Unknown,,,,,,,22109,DELTA 2 R/B(1) [-],Rocket Body,Cyl + Cone,5.97,2.44,5.97,,
1388,0.696,14.343,0.0017576614559902,0.0013514614559909,7.038410576984495e-06,4.161e-06,1.691519004322157,57645,STARLINK-30277 [+],Unknown,,,,,,,31149,FENGYUN 1C DEB [-],Payload Fragmentation Debris,,,,,,
1439,0.71,7.01,0.0017576614559902,0.00189891145599,6.763578598775648e-06,7.895e-06,0.8566913994649332,56834,STARLINK-30069 [+],Unknown,,,,,,,26960,PSLV R/B [-],Rocket Body,Cyl + Cyl + 2 Nozzle,3.238,,,,
1481,0.72,10.997,0.0017576614559902,0.0028290614559923,6.577007785942859e-06,1.704e-05,0.3859746353252852,57612,STARLINK-30245 [+],Unknown,,,,,,,13154,SL-3 R/B [-],Rocket Body,Cyl,3.8,2.6,3.8,,
1492,0.722,15.057,0.0017576614559902,0.0012012614559911,6.540620860897034e-06,3.055e-06,2.140956091946656,56223,VIREO [+],Unknown,,,,,,,57424,OBJECT A [+],Unknown,,,,,,
1493,0.722,7.14,0.0017576614559902,0.00189436145599,6.540620860897034e-06,7.598e-06,0.8608345434189305,56689,STARLINK-30129 [+],Unknown,,,,,,,30259,FENGYUN 1C DEB [-],Payload Fragmentation Debris,,,,,,
1494,0.722,9.885,0.0017576614559902,0.0012436114559911,6.540620860897034e-06,3.274e-06,1.9977461395531564,57086,STARLINK-6247 [+],Unknown,,,,,,,43788,FLOCK 3S-3 [-],Payload,Box + 2 Pan,0.3,,0.3,0.1,0.1
1502,0.725,15.168,0.0017576614559902,0.0011787114559912,6.486604052654681e-06,2.917e-06,2.223724392408186,56797,STARLINK-6058 [+],Unknown,,,,,,,26257,CZ-4B DEB [-],Rocket Fragmentation Debris,,,,,,
1505,0.726,10.709,0.0017576614559902,0.0017277614559903,6.468747083772987e-06,6.25e-06,1.034999533403678,56996,AAC-AIS-SAT2 [+],Unknown,,,,,,,54317,CZ-6A DEB [-],Other Debris,,,,,,
1509,0.727,14.223,0.0017576614559902,0.0015217114559906,6.450963750987941e-06,4.835e-06,1.3342220787979195,57435,STARLINK-30180 [+],Unknown,,,,,,,25978,CLEMENTINE [-],Payload,Box + 1 Rod,0.7,,0.7,0.4,0.7
1510,0.727,9.053,0.0017576614559902,0.0018063614559902,6.450963750987941e-06,6.814e-06,0.9467220063087672,57441,STARLINK-30160 [+],Unknown,,,,,,,15202,DELTA 1 R/B(1) [-],Rocket Body,Cyl + 1 Nozzle,6.99,2.4,6.99,,
